year,class,female,femalespeers,malespeers,continue_or_grad,company_n,totpeople
78,1,1,4,34,0,B-1,39
78,1,0,4,34,1,B-1,39
78,1,1,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,0,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,0,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,1,4,34,1,B-1,39
78,1,0,4,34,0,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,0,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,4,34,1,B-1,39
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,0,B-2,41
78,1,0,0,40,0,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,0,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,0,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,40,0,B-2,41
78,1,0,0,40,0,B-2,41
78,1,0,0,40,1,B-2,41
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,0,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,0,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,0,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,0,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,0,36,1,B-3,37
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,1,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,1,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,1,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,0,4,31,1,B-4,36
78,1,1,4,31,1,B-4,36
78,1,0,0,37,1,C-1,38
78,1,0,0,37,0,C-1,38
78,1,0,0,37,0,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,0,C-1,38
78,1,0,0,37,0,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,0,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,0,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,0,C-1,38
78,1,0,0,37,0,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,1,0,0,37,1,C-1,38
78,2,0,4,31,0,C-1,36
78,2,0,4,31,0,C-1,36
78,1,0,6,33,1,C-2,40
78,1,1,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,1,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,1,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,0,C-2,40
78,1,1,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,1,6,33,1,C-2,40
78,1,1,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,0,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,0,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,33,1,C-2,40
78,1,0,6,31,0,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,1,6,31,1,C-3,38
78,1,1,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,0,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,0,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,0,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,1,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,1,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,1,6,31,0,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,1,6,31,1,C-3,38
78,1,0,6,31,1,C-3,38
78,1,1,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,1,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,0,C-4,38
78,1,0,4,33,1,C-4,38
78,1,1,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,0,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
78,1,0,4,33,1,C-4,38
